-3416.57413798489	-8199.9185911911	-12485.3527286511	-16793.8529070992	-22520.0468485887	-30636.5280300013	-39435.9854024157	-49430.4402355189	-59909.7401709923	-72187.5501195357	-86031.0097338115	-100779.899612555	-112908.527329265	-120256.018922542	-119617.466272498	-117631.490473863	-126971.677009659	-137515.697272404	-148118.93745749
-3714.75353124353	-8475.81441103474	-12985.1264427205	-17581.7656657573	-23685.6105315532	-31663.9508123163	-40100.7805114233	-49220.9112947196	-59064.4663939176	-70677.5217608387	-85052.9955849173	-99694.8480449155	-112334.22063329	-119371.889142964	-119861.24793057	-118326.373036662	-124289.253913625	-134937.005600034	-145643.977208783
-4022.81486367007	-8753.50133378179	-13513.8259179475	-18289.9812266189	-24800.1366110365	-32433.7160179956	-40226.2778807985	-48318.3198838667	-56996.5074086568	-67647.3197453995	-82126.3041612202	-97271.9881150158	-110171.986064651	-118189.032539856	-120105.029588642	-119021.255599461	-121547.61089525	-132299.094005323	-143109.797037735
-4234.47995412736	-8999.05039449859	-13985.5267531592	-19084.1766055363	-25580.9387795289	-32715.0075844564	-39724.712235288	-47172.5926101554	-54609.9471455415	-64427.3610886929	-78110.6255164872	-93335.5389238126	-106686.627223342	-117006.175936748	-119745.623430235	-119531.051946991	-118779.875356572	-129601.962488271	-140516.396944348
-4331.54341903952	-9175.15547769992	-14271.6337354012	-19455.7195836375	-25823.5179823753	-32442.3331127893	-38638.8120936641	-45319.8582882153	-52137.9283140276	-60127.4323834868	-72345.5595146834	-87057.085345613	-100984.623602991	-113735.147084316	-119136.608735965	-119774.833605063	-117272.670987666	-126845.611048879	-137863.776928619
-4427.32656822821	-9266.86857917884	-14469.7054298937	-19871.3563407581	-25793.6772803186	-31675.1405662907	-37271.1155093455	-43101.8078674946	-49349.6602370682	-56122.7829141803	-66280.8788970273	-80330.3357263247	-94049.2416469222	-106813.042967634	-117953.752132857	-120018.615263135	-117967.553550465	-124030.039687147	-135151.936990551
-4521.82940169342	-9317.15574530111	-14346.3480095842	-19663.3642381865	-25063.9038767957	-30556.7235254775	-35799.6131052897	-41013.6308146388	-46350.7224417097	-52435.2760995799	-61844.7926668271	-72976.0362358115	-85700.892856669	-98536.5856621089	-111357.358516253	-119616.024542163	-118662.436113264	-121155.248403075	-132380.877130142
-4615.05191943514	-9176.79116972315	-13954.1506472065	-18868.5635212386	-23972.1360219582	-29470.7348370784	-34718.8640201259	-39687.0885577754	-44088.9984563258	-48962.066692078	-56166.7575693292	-65827.9265987177	-77853.422210112	-90874.4459611478	-103591.495411803	-116572.497711887	-119357.318676063	-118486.526747701	-129550.597347393
-4706.99412145339	-9016.63864413015	-13215.8275383378	-17528.979400585	-22796.2408338187	-28555.3593045439	-34639.993631943	-39621.3335266444	-42218.0194837903	-45914.7625454487	-52034.1289875032	-60108.7754059597	-70788.4368124036	-83512.5674336831	-96181.8102909363	-109018.416329028	-119932.200937628	-116913.851501468	-126661.097642303
-4797.65600774816	-8903.25233081474	-12651.0527259013	-16408.5708180337	-21658.3633663914	-27917.0860788465	-34689.4602239951	-39920.0691122413	-41818.6402965975	-43727.7049580519	-48493.4991954047	-54962.0996489137	-64453.718433878	-75557.2911554593	-88640.1797190487	-101585.685933369	-114417.01368029	-117608.734064267	-123712.378014873
-4887.03757831945	-8981.50644702561	-12168.7516222109	-15752.3049262265	-20929.4500474098	-27672.2442477065	-35113.6430294624	-40290.9452176604	-41874.0226941598	-42258.0119904084	-45340.7968282657	-51160.9585289412	-58374.4427264052	-68411.3061367677	-81144.8890524467	-94389.7458218808	-107190.984723166	-118303.616627067	-120704.438465103
-4975.13883316726	-8994.253043393	-11899.0933333532	-15316.2562839621	-20473.4426896953	-27749.8670129382	-35263.1207488821	-40743.8485762768	-42018.9402930367	-41940.9871322819	-43512.8717344295	-47491.0136718941	-53931.3449799004	-62074.9042711205	-73665.9183492916	-87327.458247451	-100181.873876436	-112974.920753795	-118238.835977653
-5061.95977229159	-9036.86418383726	-11843.6624861639	-15267.0517522658	-20601.3876062144	-27883.0851776618	-35460.9434953119	-40872.6677709319	-42102.5073901609	-41976.6729349382	-42241.0625322618	-44687.9481638595	-50417.006580925	-57266.3011066529	-67406.4421896984	-80887.9297322358	-93828.6863401019	-106583.831392528	-116555.279666681
-5147.50039569245	-9062.87196988662	-11881.3890237679	-15460.162768019	-20760.1492460404	-28052.8808026945	-35516.9376578103	-40825.5157664658	-42104.0234205763	-42037.9117653371	-41717.0898022892	-42366.3704793944	-47379.4125306358	-53538.7909426728	-62195.1556869581	-74461.1565434461	-87913.2655552724	-100717.581380921	-113194.281840462
-5231.76070336982	-9089.5157374925	-12027.2805178445	-15613.3098430701	-20915.7769049063	-28170.1702137052	-35712.2461402319	-40762.346687479	-42119.1580910935	-42056.2971616309	-41841.640159298	-41881.1990939524	-45089.7316126657	-50899.6739690453	-58103.5907329543	-68950.3888371708	-82411.7108643035	-95565.3425243132	-108341.240799316
